license_id,brand_name,original_ingredient,normalized_ingredient,synonyms,drugbank_id,mapped
200806736,이탄돌정(옥수수불검화정량추출물),TITRATED EXTRACT OF ZEA MAYS L. UNSAPONIFIABLE FRACTION,TITRATED EXTRACT OF ZEA MAYS L. UNSAPONIFIABLE FRACTION,,,False
200806738,엘티리진액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806751,씨펜액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806769,네오티가손캡슐10밀리그램(아시트레틴),SPRAY DRIED ACITRETIN 25%,SPRAY DRIED ACITRETIN 25%,,,False
200806776,속콜큐어캡슐,NOSCAPINE,NOSCAPINE,,DB06174,True
200806782,렙티진액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806793,쎄레빅스주사(포스페니토인나트륨),FOSPHENYTOIN SODIUM,FOSPHENYTOIN SODIUM,,DB01320,True
200806795,케트라진액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806797,조인트빅300연질캡슐,SODIUM CHONDROITIN SULFATE,SODIUM CHONDROITIN SULFATE,,,False
200806809,오스넬정35밀리그램(리세드론산나트륨일수화물),RISEDRONATE SODIUM MONOHYDRATE,RISEDRONATE SODIUM MONOHYDRATE,,DB00884,True
200806842,이센트레스정(랄테그라비르칼륨),RALTEGRAVIR POTASSIUM,RALTEGRAVIR POTASSIUM,,DB06817,True
200806846,아레이정10밀리그램(레플루노미드),LEFLUNOMIDE,LEFLUNOMIDE,,DB01097,True
200806851,알러잘액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806856,조인콘사민연질캡슐,SODIUM CHONDROITIN SULFATE,SODIUM CHONDROITIN SULFATE,,,False
200806857,콘드로빅300연질캡슐,SODIUM CHONDROITIN SULFATE,SODIUM CHONDROITIN SULFATE,,,False
200806882,한방파프바로한방고카타플라스마,PHELLODENDRON BARK SOFT EXTRACT (3.3→1),PHELLODENDRON BARK SOFT EXTRACT,,,False
200806883,디페트정50mg(디클로페낙나트륨)(수출용),DICLOFENAC SODIUM,DICLOFENAC SODIUM,,DB00586,True
200806885,히스탄에프정16mg(베타히스틴염산염),BETAHISTINE HYDROCHLORIDE,BETAHISTINE HYDROCHLORIDE,,DB06698,True
200806887,제일제약아스코르브산주25%,ASCORBIC ACID,ASCORBIC ACID,,DB00126,True
200806892,엘레틴액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806893,알러반액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806897,세티날액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806913,네오세틴액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806919,레보세티린액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806961,맥덴타에프캡슐,LYSOZYME HYDROCHLORIDE,LYSOZYME HYDROCHLORIDE,,,False
200806977,렉사큐어정5밀리그램(에스시탈로프람옥살산염),ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,,,False
200806999,토피트정(토피라메이트),TOPIRAMATE,TOPIRAMATE,,DB00273,True
200807005,세틴잘액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200807006,디솔린주40밀리그램(메틸프레드니솔론숙시네이트나트륨)(수출명: MEDCELORE Inj.)(수출용),METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,,,False
200807011,오지아-제스토판캡슐(수출용),PEPSIN,PEPSIN,,,False
200807018,레세티잘액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200807020,코디바드정80/12.5밀리그램,VALSARTAN,VALSARTAN,,DB00177,True
200807029,인텔렌스정(에트라비린),ETRAVIRINE,ETRAVIRINE,,DB06414,True
200807035,크레오신티외용액1%(클린다마이신포스페이트),CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,,DB01190,True
200807036,카세핀정200밀리그램(쿠에티아핀푸마르산염),QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,DB01224,True
200807037,쿠티아핀정25밀리그램(쿠에티아핀푸마르산염),QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,DB01224,True
200807038,명문쿠에티아핀정200밀리그램(쿠에티아핀푸마르산염),QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,DB01224,True
200807040,쿠에티정200밀리그램(쿠에티아핀푸마르산염),QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,DB01224,True
200807041,명문쿠에티아핀정25밀리그램(쿠에티아핀푸마르산염),QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,DB01224,True
200807043,쿠에티정25밀리그램(쿠에티아핀푸마르산염),QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,DB01224,True
